"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label"
"55","BJS",2024-05-16,"T1_early","0850",1,11,0.3669,2690.90909090909,2018.18181818182,3681.81818181818,1200,4300,"BJS_20240516_0850"
"56","BJS",2024-05-16,"T1_early","0920",2,15,0.344831746031746,3073.33333333333,2493.33333333333,3820,1200,7000,"BJS_20240516_0920"
"57","BJS",2024-05-17,"T2_mid","0630",1,7,0.327833333333333,4457.14285714286,1814.28571428571,4128.57142857143,2700,6800,"BJS_20240517_0630"
"58","BJS",2024-05-18,"T2_mid","0650",1,7,0.433833333333333,3157.14285714286,3800,3857.14285714286,1000,8200,"BJS_20240518_0650"
"59","BJS",2024-05-18,"T2_mid","1120",1,13,0.273166666666667,3438.46153846154,1507.69230769231,3592.30769230769,1700,5100,"BJS_20240518_1120"
"60","BJS",2024-05-19,"T2_mid","0610",1,8,0.371,3325,1950,3662.5,1500,5800,"BJS_20240519_0610"
"61","BJS",2024-05-19,"T2_mid","0640",1,3,0.259,5100,2266.66666666667,4800,4100,6800,"BJS_20240519_0640"
"62","BJS",2024-05-19,"T2_mid","0710",1,15,0.277928571428571,3426.66666666667,2000,4013.33333333333,1700,5800,"BJS_20240519_0710"
"63","BJS",2024-05-19,"T2_mid","0850",1,4,0.541333333333333,2125,1425,2625,1300,3600,"BJS_20240519_0850"
"64","BJS",2024-05-19,"T2_mid","0950",2,13,0.504549450549451,5307.69230769231,2546.15384615385,4938.46153846154,800,8900,"BJS_20240519_0950"
"65","BJS",2024-05-19,"T2_mid","1140",2,13,0.369291208791209,4130.76923076923,1484.61538461538,3907.69230769231,1500,5300,"BJS_20240519_1140"
"66","BJS",2024-05-19,"T2_mid","1220",2,27,0.305805194805195,3996.2962962963,2192.59259259259,3862.96296296296,1000,7200,"BJS_20240519_1220"
"67","BJS",2024-05-20,"T2_mid","1140",7,67,0.286123337856174,4843.28358208955,1694.02985074627,4583.58208955224,1000,8400,"BJS_20240520_1140"
"68","BJS",2024-05-21,"T2_mid","0930",1,11,0.2912,4590.90909090909,2218.18181818182,4900,2700,7400,"BJS_20240521_0930"
"69","BJS",2024-05-22,"T2_mid","1220",6,39,0.433487464387464,3215.38461538462,2761.53846153846,4071.79487179487,800,10100,"BJS_20240522_1220"
"70","BJS",2024-05-22,"T2_mid","1340",4,29,0.428765188834154,3537.93103448276,2593.10344827586,3906.89655172414,800,8200,"BJS_20240522_1340"
"71","BJS",2024-05-22,"T2_mid","1430",1,6,0.4106,4766.66666666667,1833.33333333333,4900,3400,6500,"BJS_20240522_1430"
"72","BJS",2024-05-22,"T2_mid","1550",4,27,0.405021164021164,3040.74074074074,1781.48148148148,3822.22222222222,1000,6700,"BJS_20240522_1550"
"73","BJS",2024-05-22,"T2_mid","1730",2,16,0.330307291666667,3300,1206.25,3837.5,1200,4400,"BJS_20240522_1730"
"74","BJS",2024-05-24,"T2_mid","0710",1,9,0.420625,2933.33333333333,1722.22222222222,3088.88888888889,1200,4100,"BJS_20240524_0710"
"75","BJS",2024-05-24,"T2_mid","0730",2,29,0.187977468652038,3603.44827586207,1317.24137931034,3631.03448275862,2700,4600,"BJS_20240524_0730"
"76","BJS",2024-05-24,"T2_mid","1820",1,5,0.27525,2660,1760,3040,2000,4400,"BJS_20240524_1820"
"77","BJS",2024-05-25,"T2_mid","0550",1,13,0.313166666666667,3569.23076923077,1407.69230769231,3623.07692307692,2000,6500,"BJS_20240525_0550"
"78","BJS",2024-05-25,"T2_mid","1040",1,8,0.408285714285714,2550,2300,3187.5,1000,5300,"BJS_20240525_1040"
"79","BJS",2024-05-28,"T2_mid","1300",17,97,0.506905731467845,3554.63917525773,1925.77319587629,3802.0618556701,1300,6800,"BJS_20240528_1300"
"80","BJS",2024-05-29,"T2_mid","0620",1,3,1.056,3666.66666666667,1400,3833.33333333333,2000,5500,"BJS_20240529_0620"
"81","BJS",2024-06-01,"T2_mid","1350",22,192,0.339620741078944,3936.45833333333,1868.22916666667,3916.14583333333,1000,6700,"BJS_20240601_1350"
"82","BJS",2024-06-04,"T2_mid","0640",2,15,0.39131,3266.66666666667,1593.33333333333,3353.33333333333,1300,6500,"BJS_20240604_0640"
"83","BJS",2024-06-08,"T2_mid","1110",1,9,0.38875,5744.44444444444,2800,5333.33333333333,3900,8600,"BJS_20240608_1110"
"84","BJS",2024-06-08,"T2_mid","1210",1,12,0.250363636363636,3866.66666666667,2750,4400,800,7500,"BJS_20240608_1210"
"85","BJS",2024-06-10,"T2_mid","1050",1,15,0.2815,5133.33333333333,1440,4946.66666666667,3700,6300,"BJS_20240610_1050"
"86","BJS",2024-06-10,"T2_mid","1650",7,46,0.34507977915804,3130.4347826087,1476.08695652174,3426.08695652174,1000,8000,"BJS_20240610_1650"
"87","BJS",2024-06-11,"T2_mid","1320",3,20,0.394745714285714,3675,1945,3995,800,8900,"BJS_20240611_1320"
"88","BJS",2024-06-11,"T2_mid","1830",2,19,0.345048644338118,3973.68421052632,1678.94736842105,4626.31578947368,1300,8200,"BJS_20240611_1830"
"89","BJS",2024-06-12,"T3_late","1030",2,27,0.322518281101614,4270.37037037037,3003.7037037037,4411.11111111111,1200,7900,"BJS_20240612_1030"
"90","BJS",2024-06-12,"T3_late","1050",1,3,1.001,2566.66666666667,2900,4166.66666666667,1200,6200,"BJS_20240612_1050"
"91","BJS",2024-06-12,"T3_late","1320",2,20,0.307175,2555,1375,3995,1300,8700,"BJS_20240612_1320"
"92","BJS",2024-06-14,"T3_late","0630",4,32,0.402126515151515,4650,4353.125,4753.125,1200,8900,"BJS_20240614_0630"
"93","BJS",2024-06-15,"T3_late","1010",5,37,0.490094701844702,2989.18918918919,2524.32432432432,3702.7027027027,800,7200,"BJS_20240615_1010"
"94","BJS",2024-06-15,"T3_late","1040",7,59,0.385511293226547,3976.27118644068,2200,4269.49152542373,1000,8200,"BJS_20240615_1040"
"95","BJS",2024-06-19,"T3_late","1530",7,39,0.450411111111111,3517.94871794872,1941.02564102564,3905.1282051282,1200,7900,"BJS_20240619_1530"
"96","BJS",2024-06-19,"T3_late","1620",5,39,0.360586385836386,3728.20512820513,1500,4489.74358974359,2500,7000,"BJS_20240619_1620"
"97","BJS",2024-06-22,"T3_late","1210",1,5,0.5055,3480,1680,4000,1500,6000,"BJS_20240622_1210"
"98","BJS",2024-06-22,"T3_late","1220",2,7,0.666714285714286,2700,1671.42857142857,3714.28571428571,1200,4900,"BJS_20240622_1220"
"99","BJS",2024-06-23,"T3_late","1020",2,10,0.731666666666667,2260,2990,3580,1000,6800,"BJS_20240623_1020"
"100","BJS",2024-06-23,"T3_late","1230",1,9,0.356,2755.55555555556,2944.44444444444,3966.66666666667,1200,7700,"BJS_20240623_1230"
"101","BJS",2024-06-23,"T3_late","1510",2,11,0.610236363636364,3500,4000,4136.36363636364,800,8400,"BJS_20240623_1510"
