base_time,car_driving,frog,insect,car_horn,bird,human_voice,human_knocking,rain,music,site
YZL_20240530_071000,30,0,60,0,16.658,0,0,0,0,YZL
YZL_20240604_110000,60,0,60,0,17.673000000000002,0,0.4480000000000004,0,0,YZL
YZL_20240604_110000,60,0,60,0,17.673000000000002,0,0.4480000000000004,0,0,YZL
YZL_20240606_120000,50,0,60,0,2.753,0,0,0,0,YZL
YZL_20240606_120000,50,0,60,0,2.753,0,0,0,0,YZL
YZL_20240606_120000,50,0,60,0,2.753,0,0,0,0,YZL
YZL_20240606_120000,50,0,60,0,2.753,0,0,0,0,YZL
YZL_20240606_163000,60,0,60,0,17.177,0,0,0,0,YZL
YZL_20240606_163000,60,0,60,0,17.177,0,0,0,0,YZL
YZL_20240606_163000,60,0,60,0,17.177,0,0,0,0,YZL
YZL_20240606_163000,60,0,60,0,17.177,0,0,0,0,YZL
YZL_20240611_133000,60,0,60,0,9.846,0,1.7280000000000002,10,9.424,YZL
YZL_20240618_140000,60,0,60,0,5.872,0,0,0,0,YZL
YZL_20240619_110000,40,0,60,0,12.633999999999999,0,0,0,0,YZL
YZL_20240619_110000,40,0,60,0,12.633999999999999,0,0,0,0,YZL
YZL_20240619_121000,60,0,60,0,15.740999999999998,0,0,0,0,YZL
YZL_20240619_121000,60,0,60,0,15.740999999999998,0,0,0,0,YZL
YZL_20240621_092001,60,0,60,0,12.493,0,0.3199999999999994,0,0,YZL
YZL_20240621_092001,60,0,60,0,12.493,0,0.3199999999999994,0,0,YZL
YZL_20240621_092001,60,0,60,0,12.493,0,0.3199999999999994,0,0,YZL
YZL_20240621_092001,60,0,60,0,12.493,0,0.3199999999999994,0,0,YZL
YZL_20240621_092001,60,0,60,0,12.493,0,0.3199999999999994,0,0,YZL
YZL_20240621_092001,60,0,60,0,12.493,0,0.3199999999999994,0,0,YZL
YZL_20240622_112000,22.896,0,60,0,38.105,0,0,0,0,YZL
YZL_20240622_112000,22.896,0,60,0,38.105,0,0,0,0,YZL
YZL_20240623_102000,60,0,60,0,14.763,0,0,0,0,YZL
YZL_20240623_102000,60,0,60,0,14.763,0,0,0,0,YZL
YZL_20240623_102000,60,0,60,0,14.763,0,0,0,0,YZL
YZL_20240623_104000,60,0,60,0,16.844,0,0,0,0,YZL
YZL_20240623_111000,60,0,60,0,14.853,0,0,0,0,YZL
YZL_20240623_111000,60,0,60,0,14.853,0,0,0,0,YZL
YZL_20240623_111000,60,0,60,0,14.853,0,0,0,0,YZL
YZL_20240623_111000,60,0,60,0,14.853,0,0,0,0,YZL
YZL_20240623_111000,60,0,60,0,14.853,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
YZL_20240623_114000,60,0,60,0,23.214000000000002,0,0,0,0,YZL
