,mean_calls,mean_interval,mean_peakfreq,mean_bandw,mean_centroid,min_freq,max_freq,PLAND_gs,MPS_edge,MPS_gallery,site_code,period,ISR,LAI_understory,mean_crown_ratio,local_clustering,height_range,dist1,dist2
39,14,0.398443815,3275.275895,2237.391297,3649.591233,1000,8900,71.5756,2.63,0.234,WT,T1_early,18.3872,0.491313415,0.454661192,0.382076336,24.279,1021.028691,1353.588882
40,14.77777778,0.413929957,3546.088332,1885.251447,3885.093585,800,9400,71.5756,2.63,0.234,WT,T2_mid,18.3872,0.491313415,0.454661192,0.382076336,24.279,1021.028691,1353.588882
41,17.72727273,0.464329043,3463.731841,1891.947133,3871.165343,800,8900,71.5756,2.63,0.234,WT,T3_late,18.3872,0.491313415,0.454661192,0.382076336,24.279,1021.028691,1353.588882
42,26.90291262,0.365707794,4278.245782,1888.087079,4380.404432,600,9100,83.3,1.6884,0.3514,XH,T1_early,1.4584,0.277700404,0.408000782,0.478812745,21.007,1215.554958,1865.761415
43,24.26865672,0.40445792,4138.694981,1997.047871,4323.365531,800,9300,83.3,1.6884,0.3514,XH,T2_mid,1.4584,0.277700404,0.408000782,0.478812745,21.007,1215.554958,1865.761415
44,28.78632479,0.387454771,4189.636763,2018.086073,4302.545821,800,9600,83.3,1.6884,0.3514,XH,T3_late,1.4584,0.277700404,0.408000782,0.478812745,21.007,1215.554958,1865.761415
45,18.30769231,0.481385949,3377.227414,2019.306901,3688.213804,800,9300,54.2334,1.3019,0.4117,XL,T1_early,6.6648,0.235058312,0.399889972,0.527972421,18.584,621.0506345,2062.645571
46,20.29310345,0.497440103,3529.477117,1912.878657,3825.181353,800,8700,54.2334,1.3019,0.4117,XL,T2_mid,6.6648,0.235058312,0.399889972,0.527972421,18.584,621.0506345,2062.645571
47,15.81632653,0.422778283,3862.946642,1884.08366,4065.158877,800,8900,54.2334,1.3019,0.4117,XL,T3_late,6.6648,0.235058312,0.399889972,0.527972421,18.584,621.0506345,2062.645571
48,17.80392157,0.438312496,4024.094586,2351.143329,4262.639975,800,10300,55.5619,1.8086,0.41,YHS,T1_early,19.3309,0.45022677,0.370684048,0.495645681,24.565,1279.50651,1413.239345
49,7.25,0.91352004,4265.953283,1952.796717,4380.612374,800,9600,55.5619,1.8086,0.41,YHS,T2_mid,19.3309,0.45022677,0.370684048,0.495645681,24.565,1279.50651,1413.239345
50,16.68,0.435018595,4185.999638,2659.844513,4408.102594,600,10600,55.5619,1.8086,0.41,YHS,T3_late,19.3309,0.45022677,0.370684048,0.495645681,24.565,1279.50651,1413.239345
51,17.85483871,0.481294077,3254.112994,1902.046782,3445.520695,600,9400,48.0508,0.8786,0.5779,YLW,T1_early,40.4017,0.311512255,0.508718305,0.670389254,17.863,501.9270108,1856.019742
52,22.26618705,0.552957705,3320.885339,1777.711045,3513.798485,800,9600,48.0508,0.8786,0.5779,YLW,T2_mid,40.4017,0.311512255,0.508718305,0.670389254,17.863,501.9270108,1856.019742
53,24.16363636,0.465128765,3362.9374,1855.148534,3586.755387,800,9300,48.0508,0.8786,0.5779,YLW,T3_late,40.4017,0.311512255,0.508718305,0.670389254,17.863,501.9270108,1856.019742
54,22.32258065,0.40442816,3893.188059,2283.368229,4014.939842,800,9800,50.4718,1.7,0.531,YTS,T1_early,36.0309,0.433458036,0.439811717,0.482019866,37.686,169.0183779,462.5992936
55,21.03846154,0.463269917,4043.590683,2282.912345,4154.040357,600,9800,50.4718,1.7,0.531,YTS,T2_mid,36.0309,0.433458036,0.439811717,0.482019866,37.686,169.0183779,462.5992936
56,21.17475728,0.418840354,3928.792191,2157.676394,4002.005533,800,9800,50.4718,1.7,0.531,YTS,T3_late,36.0309,0.433458036,0.439811717,0.482019866,37.686,169.0183779,462.5992936
57,31.38961039,0.446875344,3704.762115,2176.621139,3982.636499,800,9800,15.7171,2.826,0.1964,YZL,T1_early,50.272,0.352051336,0.519363823,0.411072867,19.262,582.7320502,916.9116483
58,32.5,0.442473542,4112.680729,2042.874586,4376.209804,800,9100,15.7171,2.826,0.1964,YZL,T2_mid,50.272,0.352051336,0.519363823,0.411072867,19.262,582.7320502,916.9116483
59,25.92424242,0.429676445,4035.302423,2063.597897,4202.720926,600,9800,15.7171,2.826,0.1964,YZL,T3_late,50.272,0.352051336,0.519363823,0.411072867,19.262,582.7320502,916.9116483
