"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label","base_time","car_driving","frog","insect","car_horn","bird","human_voice","human_knocking","rain","music","site","low_freq_strength","mid_high_freq_strength","low_mid_high_freq_strength","constant_strength","pulse_strength","structural_strength","hour","minute","time_decimal"
"27","BJS",2024-05-07,"T1_early","1220",5,33,0.403499422799423,5606.06060606061,1315.15151515152,5430.30303030303,2200,6700,"BJS_20240507_1220","BJS_20240507_122000",60,0,60,0,2.142,0,0,0,0,"BJS",0.333333333333333,0.51785,0,0.666666666666667,0,0.0119,12,20,12.3333333333333
"28","BJS",2024-05-07,"T1_early","1230",1,4,0.608,2950,3275,3825,1000,8600,"BJS_20240507_1230","BJS_20240507_123000",60,0,60,0,14.21,0,0,0,0,"BJS",0.333333333333333,0.618416666666667,0,0.666666666666667,0,0.0789444444444445,12,30,12.5
"29","BJS",2024-05-07,"T1_early","1710",1,4,0.906,7950,2575,6475,6500,9900,"BJS_20240507_1710","BJS_20240507_171000",60,0,60,0,10.166,0.448,0,0,0,"BJS",0.335822222222222,0.584716666666667,0,0.666666666666667,0,0.0589666666666667,17,10,17.1666666666667
"30","BJS",2024-05-08,"T1_early","0600",14,134,0.341961709082791,3112.68656716418,1444.77611940299,3282.08955223881,800,5600,"BJS_20240508_0600","BJS_20240508_060000",60,0,60,0,0.459,0,0,0,0,"BJS",0.333333333333333,0.503825,0,0.666666666666667,0,0.00255,6,0,6
"31","BJS",2024-05-08,"T1_early","0640",2,28,0.25878431372549,4532.14285714286,2246.42857142857,4410.71428571429,800,8000,"BJS_20240508_0640","BJS_20240508_064000",52.96,0,60,0,8.479,7.504,0,0,0.576,"BJS",0.339111111111111,0.570658333333333,0,0.627555555555556,0,0.0919944444444444,6,40,6.66666666666667
"32","BJS",2024-05-08,"T1_early","0800",1,9,0.363,4366.66666666667,1888.88888888889,3977.77777777778,1000,6700,"BJS_20240508_0800","BJS_20240508_080000",60,0,60,0,0,0,0,60,0,"BJS",0.333333333333333,0.5,0.25,1,0,0,8,0,8
"33","BJS",2024-05-08,"T1_early","0820",5,35,0.37153537414966,2720,1348.57142857143,2920,1000,4100,"BJS_20240508_0820","BJS_20240508_082000",60,0,60,0,2.294,0,0,60,0,"BJS",0.333333333333333,0.519116666666667,0.25,1,0,0.0127444444444444,8,20,8.33333333333333
"34","BJS",2024-05-08,"T1_early","0830",23,202,0.327450129655823,2836.13861386139,1928.21782178218,3259.40594059406,800,9100,"BJS_20240508_0830","BJS_20240508_083000",60,0,60,0,4.26,0,0,60,0,"BJS",0.333333333333333,0.5355,0.25,1,0,0.0236666666666667,8,30,8.5
"35","BJS",2024-05-08,"T1_early","0920",2,12,0.711576388888889,2825,2966.66666666667,3183.33333333333,1000,8900,"BJS_20240508_0920","BJS_20240508_092000",60,0,60,0,31.059,0,0,10,0,"BJS",0.333333333333333,0.758825,0.0416666666666667,0.722222222222222,0,0.17255,9,20,9.33333333333333
"36","BJS",2024-05-08,"T1_early","1140",13,79,0.476425105485232,3000,1982.27848101266,3515.18987341772,1000,7000,"BJS_20240508_1140","BJS_20240508_114000",60,0,60,0,15.153,0.064,0.064,0,0,"BJS",0.333688888888889,0.626275,0.000266666666666667,0.666666666666667,0.000355555555555556,0.0845388888888889,11,40,11.6666666666667
"37","BJS",2024-05-08,"T1_early","1320",7,31,0.428170430107527,2125.8064516129,1932.25806451613,2696.77419354839,1000,8900,"BJS_20240508_1320","BJS_20240508_132000",60,0,60,0,7.507,0,0,0,0,"BJS",0.333333333333333,0.562558333333333,0,0.666666666666667,0,0.0417055555555556,13,20,13.3333333333333
"38","BJS",2024-05-09,"T1_early","0800",3,40,0.309517307692308,3822.5,1252.5,3900,1700,4900,"BJS_20240509_0800","BJS_20240509_080000",11.36,0,60,0,34.715,0,0,0,0,"BJS",0.0631111111111111,0.789291666666667,0,0.396444444444444,0,0.192861111111111,8,0,8
"39","BJS",2024-05-09,"T1_early","1150",1,13,0.308666666666667,4992.30769230769,2884.61538461539,5292.30769230769,1000,10100,"BJS_20240509_1150","BJS_20240509_115000",60,0,60,0,13.115,4.736,0,0,0,"BJS",0.359644444444444,0.609291666666667,0,0.666666666666667,0,0.0991722222222222,11,50,11.8333333333333
"40","BJS",2024-05-09,"T1_early","1650",2,8,1.08028125,2362.5,1962.5,4187.5,1200,6800,"BJS_20240509_1650","BJS_20240509_165000",50,0.32,60,0,4.176,0.32,0.896,0,0,"BJS",0.279555555555556,0.5348,0.00506666666666667,0.611111111111111,0.00675555555555556,0.0249777777777778,16,50,16.8333333333333
"41","BJS",2024-05-11,"T1_early","0720",3,25,0.349294285714286,3204,2484,3820,1300,7200,"BJS_20240511_0720","BJS_20240511_072000",30,0,60,0,3.388,0,0.256,0,0,"BJS",0.166666666666667,0.528233333333333,0.00106666666666667,0.5,0.00142222222222222,0.0188222222222222,7,20,7.33333333333333
"42","BJS",2024-05-11,"T1_early","0750",1,15,0.284357142857143,4740,2000,4833.33333333333,3400,6800,"BJS_20240511_0750","BJS_20240511_075000",0,0,60,0,0,0.448,0,0,0,"BJS",0.00248888888888889,0.5,0,0.333333333333333,0,0.00248888888888889,7,50,7.83333333333333
"43","BJS",2024-05-11,"T1_early","1000",7,52,0.416184981684982,3126.92307692308,1707.69230769231,3332.69230769231,1500,6000,"BJS_20240511_1000","BJS_20240511_100000",60,0,60,0,24.305,0,0.256,0,0,"BJS",0.333333333333333,0.702541666666667,0.00106666666666667,0.666666666666667,0.00142222222222222,0.135027777777778,10,0,10
"44","BJS",2024-05-12,"T1_early","0710",3,28,0.348585714285714,2257.14285714286,2532.14285714286,3328.57142857143,800,7400,"BJS_20240512_0710","BJS_20240512_071000",60,0,60,0,28.54,2.688,0.256,0,0,"BJS",0.348266666666667,0.737833333333333,0.00106666666666667,0.666666666666667,0.00142222222222222,0.173488888888889,7,10,7.16666666666667
"45","BJS",2024-05-12,"T1_early","0720",2,18,0.385012345679012,3988.88888888889,1600,4300,2700,6200,"BJS_20240512_0720","BJS_20240512_072000",40,0,60,0,36.857,0,0,0,0,"BJS",0.222222222222222,0.807141666666667,0,0.555555555555556,0,0.204761111111111,7,20,7.33333333333333
